time,open,high,low,close,Volume
1771373160,1.35651,1.35654,1.35638,1.35642,149
1771373340,1.35643,1.35665,1.35643,1.35658,186
1771373520,1.35657,1.35664,1.35656,1.35657,77
1771373700,1.35658,1.3566,1.35637,1.35637,157
1771373880,1.35636,1.35649,1.3563,1.35634,181
1771374060,1.35634,1.35644,1.35631,1.35641,189
1771374240,1.35641,1.35642,1.35625,1.35632,279
1771374420,1.35633,1.35643,1.35633,1.35642,189
1771374600,1.35642,1.3565,1.35641,1.35646,248
1771374780,1.35646,1.3565,1.35623,1.35638,255
1771374960,1.35636,1.35636,1.35611,1.35619,253
1771375140,1.35617,1.35627,1.35617,1.35625,231
1771375320,1.35622,1.35628,1.35617,1.3562,191
1771375500,1.35619,1.35643,1.35618,1.35636,380
1771375680,1.35636,1.35646,1.35628,1.35635,335
1771375860,1.35636,1.35642,1.3563,1.3564,441
1771376040,1.35639,1.35639,1.35612,1.35624,389
1771376220,1.35623,1.35628,1.35614,1.35626,345
1771376400,1.35625,1.35626,1.35576,1.35603,681
1771376580,1.35604,1.3562,1.35598,1.3561,407
1771376760,1.35609,1.3562,1.35598,1.356,275
1771376940,1.35598,1.35602,1.35573,1.35574,255
1771377120,1.35574,1.35583,1.35569,1.35576,237
1771377300,1.35574,1.35578,1.35551,1.35571,225
1771377480,1.35572,1.35578,1.35554,1.3556,194
1771377660,1.3556,1.35568,1.35549,1.35562,346
1771377840,1.35561,1.35581,1.35553,1.35581,180
1771378020,1.3558,1.35581,1.3556,1.35562,190
1771378200,1.35562,1.35582,1.35556,1.35579,238
1771378380,1.35578,1.35578,1.35552,1.3556,226
1771378560,1.35559,1.35566,1.35542,1.35552,162
1771378740,1.35552,1.35562,1.3555,1.35556,168
1771378920,1.35555,1.35576,1.35555,1.35574,160
1771379100,1.35575,1.3558,1.35568,1.35576,133
1771379280,1.35575,1.3558,1.35566,1.35566,132
1771379460,1.35566,1.35571,1.35558,1.35568,277
1771379640,1.35566,1.3558,1.35566,1.3558,154
1771379820,1.3558,1.35593,1.35572,1.35585,254
1771380000,1.35588,1.35588,1.35542,1.35548,377
1771380180,1.35548,1.3556,1.35547,1.35559,205
1771380360,1.35558,1.35587,1.3555,1.3558,188
1771380540,1.35579,1.3558,1.3556,1.3556,206
1771380720,1.3556,1.3556,1.35527,1.35536,338
1771380900,1.35535,1.35546,1.3553,1.35531,235
1771381080,1.3553,1.35532,1.35518,1.35528,310
1771381260,1.35527,1.35553,1.35527,1.35553,131
1771381440,1.35552,1.35572,1.35552,1.3557,170
1771381620,1.3557,1.35576,1.35559,1.35562,298
1771381800,1.3556,1.3557,1.35546,1.35554,240
1771381980,1.35555,1.35571,1.35554,1.35568,197
1771382160,1.35568,1.3557,1.35552,1.35554,221
1771382340,1.35555,1.35571,1.35554,1.3557,120
1771382520,1.3557,1.35578,1.35559,1.35571,127
1771382700,1.3557,1.35571,1.35562,1.3557,137
1771382880,1.35568,1.3557,1.35559,1.3556,192
1771383060,1.3556,1.35578,1.35558,1.35572,149
1771383240,1.35572,1.35573,1.35557,1.3556,233
1771383420,1.3556,1.35561,1.35544,1.35546,164
1771383600,1.35546,1.35564,1.35544,1.35561,211
1771383780,1.35562,1.3558,1.35558,1.3558,190
1771383960,1.35578,1.3558,1.3557,1.35572,196
1771384140,1.35573,1.35575,1.35568,1.35568,111
1771384320,1.35568,1.35569,1.35555,1.35558,146
1771384500,1.35559,1.35559,1.3554,1.3554,140
1771384680,1.35539,1.3556,1.35539,1.3556,131
1771384860,1.35559,1.35574,1.3555,1.3557,112
1771385040,1.3557,1.35572,1.35558,1.35564,145
1771385220,1.35565,1.35578,1.35559,1.35578,196
1771385400,1.35578,1.3558,1.35551,1.35558,167
1771385580,1.35559,1.35562,1.35554,1.35557,121
1771385760,1.35558,1.35568,1.3555,1.35552,172
1771385940,1.35554,1.35556,1.3555,1.3555,129
1771386120,1.3555,1.35554,1.35545,1.35546,88
1771386300,1.35546,1.35549,1.35527,1.35528,158
1771386480,1.35528,1.3555,1.35527,1.35548,206
1771386660,1.35549,1.35556,1.35548,1.35552,113
1771386840,1.3555,1.35553,1.35538,1.35538,218
1771387020,1.35538,1.35542,1.35532,1.35532,217
